"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"Clayfield Solar ","Common Energy",Ground,2021,"-122.348059,45.262922","23741 S Springwater Rd",Estacada,Oregon,97023,Planned,"Portland Gas and Electric (PGE)","Solar Town",2565,"More than 2 MW",10,257,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,103
"CO LI CSG 1 LLC - Kamerra","Solar Rewards Community CO",Ground,2019,"-104.585538,39.784975","4901 Imboden Rd",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",1530,"500 KW to 1,999 KW",100,1530,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,612
"CO LI CSG 2 LLC - Kamerra","Solar Rewards Community CO",Ground,2019,"-104.586122,39.787466","5260 3/4 Imboden Rd - UNIT SRC064203",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)","Pivot Energy",770,"500 KW to 1,999 KW",68,524,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,209
"Community Energy","Solar Rewards Community CO",Ground,2013,"-105.056864,40.001851","710 East County Line Road",Lafayette,Colorado,80026,Operational,"Public Service Company of Colorado (PSCo)","Community Energy ",384,"Less than 500 KW",5,19,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"Community Solar at Queensbridge Houses",NYCHA,Roof,2021,"-73.945055,40.755034","40 10th St, Queen","New York","New York",11101,Operational,"Con Edison (ConEd)","Sol Purpose",1800,"500 KW to 1,999 KW",25,378,Carve-out,"Investor-owned utility (IOU)",Regulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Low = less than 20%",15,No,100
"Community Solar for Community Action","Southeastern Vermont Community Action",Ground,2019,"-72.446549,43.093921","91 Buck Drive",Westminster,Vermont,05158,Operational,"Green Mountain Power",southeastern-vermont-community-action,83,"Less than 500 KW",25,21,Carve-out,"Investor-owned utility (IOU)",Regulated,0.2,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Low = less than 10% of value stack",No,"High = greater than 50%",100,No,50
"Congregation Beth Elohim","Congregation Beth Elohim Community Solar",Canopy,2020,"-71.45665136859724,42.472994943963144","133 Prospect St",Acton,Massachusetts,01720,Operational,Eversource,"621 Energy",300,"Less than 500 KW",15,45,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,15
"Cosper Creek Solar","Oregon Shines",Ground,2021,"-123.499011,45.057939","OR-18 BUS",Willamina,Oregon,97396,Planned,"Portland Gas and Electric (PGE)","Conifer Community Energy 1",2500,"More than 2 MW",10,250,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,100
"Cottonwood Creek solar project",SOMAH,Roof,2021,"-122.02110574981282,38.25506132948404","202 Railroad Ave","Suisun City",California,94585,Operational,"Portland Gas and Electric (PGE)","BRIDGE Housing",246,"Less than 500 KW",100,246,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.2,"High = more than $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",No,"High = greater than 50%",100,Yes,94
"Coyote Ridge Community Solar Farm","PVREA Cooperative Solar",Ground,2017,"-105.130555,40.500941",,"Fort Collins",Colorado,80526,Operational,"Poudre Valley Rural Electric Association, Inc. (PVREA)","GRID Alternatives",1950,"500 KW to 1,999 KW",40,700,Carve-out,"Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Low = less than 20%",12,No,280
"Crans Mill Solar Farm","Solar For All (NY-Sun)",Ground,2019,"-74.345547,41.561879","56 Crans Mill Rd",Crawford,"New York",12566,Operational,"Orange and Rockland Utilities, Inc.","Clearway Energy Group",2800,"More than 2 MW",38,1064,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.18,"High = more than $0.15 per kWh","Value of Solar","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,Yes,426
"CS Power Group LLC","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.21187428718791,40.0820756429438",,"Lakewood Township","New Jersey",,Operational,jersey-central-power-and-light,"PowerLutions Solar Company",1433,"500 KW to 1,999 KW",51,731,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,292
"Decatur Island Community Solar","Decatur Island Community Solar",Ground,2018,"-122.804472,48.506520","640-876 Decatur Head Dr","Decatur Island",Washington,98222,Operational,"Orcas Power and Light Cooperative","Orcas Power and Light Cooperative",752,"500 KW to 1,999 KW",10,75,Carve-out,"Cooperative utility",Regulated,0.1,"Low = below $0.11 per kWh","Retail Rate","Enabling Legislation","Low = less than 10% of value stack",No,"High = greater than 50%",68,No,27
"Demers Real Estate - 938 V Street NE","DC Solar for All",Roof,2020,"-76.99267929271662,38.91761051327307","938 V St NE",Washington,"District of Columbia",20018,Operational,"Potomac Electric Power Company (Pepco) DC","Greenscape Environmental Services",600,"500 KW to 1,999 KW",100,600,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,240
"Denver Community Solar Garden I LLC","Solar Rewards Community CO",Ground,2015,"-104.779863,39.788859","UNIT SRC 18664 17897 E 51ST AVE",Denver,Colorado,80249,Operational,"Public Service Company of Colorado (PSCo)",SunShare,384,"Less than 500 KW",5.00,20.00,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50.00,No,8
"Denver Community Solar Garden II LLC","Solar Rewards Community CO",Ground,2015,"-104.780023,39.790280","UNIT SRC 18664 17897 E 51ST AVE",Denver,Colorado,80249,Operational,"Public Service Company of Colorado (PSCo)",SunShare,384,"Less than 500 KW",6,22,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,9
"Denver Housing Authority Solar Garden","Denver Housing Authority Community Solar",Ground,2017,"-104.618066,39.755972","2950 N Hudson Rd",Watkins,Colorado,80137,Operational,"Xcel Energy","Namaste Solar",1504,"500 KW to 1,999 KW",100,1540,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,737
"DH-MA Solar Owner 1, LLC - Freetown",SMART,Ground,2022,"-70.9998423764706,41.74930932152603","19-1 Algonquin Way",Freetown,Massachusetts,02717,Planned,"Eversource MA East",,62,"Less than 500 KW",51,32,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,13
"DH-MA Solar Owner 1, LLC - Wareham",SMART,Ground,2022,"-70.69587779376837,41.77567859661774","Blue Star Memorial Hwy",Wareham,Massachusetts,02571,Planned,"Eversource MA East","Hurricane Hill Development Company PLLC",150,"Less than 500 KW",51,77,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,31
"Distributed Solar Operations, LLC","Maryland Community Solar Pilot Program",Ground,2022,"-76.89570372250365,38.86958424541929","1355 Addison Rd S","Capitol Heights",Maryland, 20743,Planned,"Potomac Electric Power Company (Pepco)",,1500,"500 KW to 1,999 KW",30,450,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,180
"DMEA Income Qualified Community Solar Array","DMEA Community Solar",Ground,2016,"-107.913551,38.519340","11925 6300 Road",Montrose,Colorado,81401,Operational,"Delta-Montrose Electric Association (DMEA)","GRID Alternatives",113,"Less than 500 KW",100,113,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",No,"High = greater than 50%",50,No,60
"Dover Solar","Common Energy",Ground,2021,"-122.676475,45.209906","27373 S Hwy 170",Canby,Oregon,97038,Planned,"Portland Gas and Electric (PGE)","Solar Town",1980,"500 KW to 1,999 KW",10,198,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,79
"Duke Realty 1 – Perth Amboy","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.26080183782989,40.527756650009486","960 High Street","Perth Amboy","New Jersey",08861,Operational,"Public Service Electric and Gas (PSE&G)","Solar Landscape",3331,"More than 2 MW",51,1699,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,679
"Duke Realty 2 – Perth Amboy","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.2614285267445,40.529727550985946","1000 High Street","Perth Amboy","New Jersey",08861,Operational,"Public Service Electric and Gas (PSE&G)","Solar Landscape",2062,"More than 2 MW",51,1051,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,421
"Duke Realty 2 – Teterboro","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.06549695500675,40.859936635993925","1 Catherine Street","Borough of Teterboro","New Jersey",07068,Operational,"Public Service Electric and Gas (PSE&G)","Solar Landscape",1300,"500 KW to 1,999 KW",51,663,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,265
"Duke Realty 3 – Carlstadt","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.07803456055018,40.83850384365346","5 Ethel Boulevard","Wood Ridge","New Jersey",07075,Operational,"Public Service Electric and Gas (PSE&G)","Solar Landscape",1823,"500 KW to 1,999 KW",51,930,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",15,No,372
"Dupont Park Apartments Community Solar Project","DC Solar for All",Mixed,2020,"-76.94753671897182,38.88547927790085","3738 D St SE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC",Groundswell,100,"Less than 500 KW",100,100,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,29
"Dupont Park Church and School Community Solar Project",SharePower,Roof,2020,"-76.94688485118873,38.87165284302637","3985 Massachusetts Ave SE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC",Groundswell,168,"Less than 500 KW",100,168,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,48
"Earth and Air Technologies, LLC","Maryland Community Solar Pilot Program",Ground,2018,"-77.07189631505824,39.55493982659028","2117 Old New Windsor Pike","Mt. Airy",Maryland,21771,Operational,"Baltimore Gas and Electric (BGE)",,1980,"500 KW to 1,999 KW",30,594,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,238
"Echo Valley Apartments","Echo Valley Community Solar",Roof,2020,"-71.530010,41.717546","56 Maple Ave","West Warwick","Rhode Island",02893,Operational,"National Grid",Fairstead,320,"Less than 500 KW",100,472,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Low = less than 20%",12,No,100
Echostage,"DC Solar for All",Roof,2020,"-76.97238392442033,38.91993908367714","2135 Queens Chapel Rd NE",Washington,"District of Columbia",20018,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",55,"Less than 500 KW",24,13,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,5
"Elkton Blue Solar, LLC","Maryland Community Solar Pilot Program",Ground,2022,"-75.88508701143448,39.655695799898766","1787 Blue Ball Rd",Elkton,Maryland,21921,Planned,"Delmarva Power","Elkton Blue Solar, LLC",2000,"More than 2 MW",30,600,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,240
"Emerald Marshfield LLC",SMART,Canopy,2022,"-70.70583438928278,42.09180082275145",,Marshfield,Massachusetts,,Planned,"Eversource MA East",,2100,"More than 2 MW",51,1071,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,428
"Empire Electric Association, Inc","Empire Electric Association Community Solar",Ground,2016,"-108.591624,37.357029","801 N Broadway",Cortez,Colorado,81321,Operational,"Empire Electric Association, Inc","Empire Electric Association, Inc",26,"Less than 500 KW",100,26,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,10
"EQ Flats","DC Solar for All",Roof,2020,"-76.99082195895059,38.84308128591102","1110 Savannah Street SE",Washington,"District of Columbia",20032,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",55,"Less than 500 KW",100,55,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,22
"Fairfax Commons","DC Solar for All",Roof,2021,"-76.95078915650129,38.86287631454846","3829 W Street SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",228,"Less than 500 KW",100,228,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,91
"Fairfax Village Condominiums","DC Solar for All",Roof,2021,"-76.95135318436229,38.863444513849046","3812 W St SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",581,"500 KW to 1,999 KW",100.00,581.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100.00,Yes,232
Faribault,"Cooperative Energy Futures Community Solar Garden",Ground,2020,"-93.31005596426962,44.27461444586883",,"Faribault ",Minnesota,55021,Operational,"Xcel Energy","Cooperative Energy Futures",1300,"500 KW to 1,999 KW",50,780,Carve-out,"Investor-owned utility (IOU)",Regulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",6,No,312
"Firehouse 27","DC Solar for All",Roof,2021,"-76.94095537705975,38.9033416836169","4201 Minnesota Ave NE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC",SaveSolar,120,"Less than 500 KW",100,120,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,48
"Flintstone Community Solar Project","Flintstone Community Solar Project",Ground,2021,"-78.57046070494549,39.70355970078113",,"Allegany County",Maryland,,Operational,"Potomac Edison","Ogos Energy LLC",2700,"More than 2 MW",30,810,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,324
"Fort Chaplin Park Apartments - North Lot 1","DC Solar for All",Roof,2020,"-76.94182602334915,38.89069863071194","4212 East Capitol St NE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",1050,"500 KW to 1,999 KW",100,1050,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,420
"Fort Collins Community Solar Pilot","Solar Affordability Program",Ground,2017,"-105.08725,40.59461","518 Loomis Ave","Fort Collins",Colorado,80521,Operational,"Fort Collins Utilities","Fort Collins Utilities",64,"Less than 500 KW",100,64,"Income eligible only","Municipally-owned utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",23,No,25
"Four Points","Multifamily Shared Solar Pilot Program",Roof,2018,"-97.854651,30.402276","6900-6896 Ranch Rd 620 N",Austin,Texas,78732,Operational,"Austin Energy",,200,"Less than 500 KW",100,200,"Income eligible only","Municipally-owned utility",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","No enabling legislation, but projects exist","Low = less than 10% of value stack",No,"Moderate = 20% to 50%",45,No,120
"FPL Discovery Solar Energy Center, Brevard County","SolarTogether - SunAssist",Ground,2021,"-80.75667502217034,28.38750945343121","1679 Clearlake Rd",Cocoa,Florida,32922,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Egret Solar Energy Center, Baker County","SolarTogether - SunAssist",Ground,2021,"-82.19457030669193,30.296773101435257","3614-3622 Claude Harvey Rd","Glen St Mary",Florida,32040,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Fort Drum Solar Energy Center, Okeechobee County","SolarTogether - SunAssist",Ground,2021,"-80.74035605244624,27.219831747427353",,Okeechobee,Florida,34972,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Lakeside Solar Energy Center, Okeechobee County","SolarTogether - SunAssist",Ground,2021,"-80.54897042666211,27.051397740948584","SW Warfield Blvd",Indiantown,Florida,34956,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Magnolia Springs Solar Energy Center, Clay County","SolarTogether - SunAssist",Ground,2021,"-81.69431512330381,29.88590661296888","1021 Leno Rd","Green Cove Springs",Florida,32043,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Nassau Solar Energy Center, Nassau County","SolarTogether - SunAssist",Ground,2021,"-81.95567813621626,30.32123420345076",,"Southwest Jacksonville",Florida,,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Orange Blossom Solar Energy Center, Indian River County","SolarTogether - SunAssist",Ground,2021,"-80.56511777719463,27.592151682740283",,32966,Florida,,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Palm Bay Solar Energy Center, Brevard County","SolarTogether - SunAssist",Ground,2021,"-80.66886246685137,27.846258582893473","1106 Centerlane Rd",fellsmere,Florida,32945,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Pelican Solar Energy Center, St. Lucie County","SolarTogether - SunAssist",Ground,2021,"-80.57354230469733,27.54845160971681","122nd Ave SW, Fort Pierce, FL 34945","Fort Pierce",Florida,34945,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Rodeo Solar Energy Center, DeSoto County","SolarTogether - SunAssist",Ground,2021,"-80.56511777719463,27.592151682740283",,Arcadia,Florida,34266,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Sabal Palm Solar Energy Center, Palm Beach County","SolarTogether - SunAssist",Ground,2021,"-80.36028265683824,26.779896499524135",,Sabal,Florida,33470,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Trailside Solar Energy Center, St. Johns County","SolarTogether - SunAssist",Ground,2021,"-81.42752758902546,29.77783199378294","6001 County Rd 305",Elkton,Florida,32033,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Union Springs Solar Energy Center, Union County","SolarTogether - SunAssist",Ground,2021,"-82.28955745923814,30.004524357688098","8976 SE County Rd 237","Lake Butler",Florida,32054,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"FPL Willow Solar Energy Center, Manatee County","SolarTogether - SunAssist",Ground,2021,"-82.35319445065926,27.60637174274589","19050 FL-62",Parrish,Florida,34219,Operational,"Florida Power & Light Company","Florida Power & Light Company",74500,"More than 2 MW",3,1863,"Income eligible only","Investor-owned utility (IOU)",Regulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","No enabling legislation, but projects exist","Low = less than 10% of value stack",Yes,"Low = less than 20%",13,No,745
"Franklin Solar 1 LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.55933692192741,40.526048630428576","13 Jensen Drive",Franklin,"New Jersey",08873,Planned,"Public Service Electric and Gas (PSE&G)","Franklin Solar 1 LLC",2854,"More than 2 MW",51,1455,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,582
"Franklin Solar 2 LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.49842539798728,40.479588861299604","50 Veronica Ave",Franklin,"New Jersey",08873,Planned,"Public Service Electric and Gas (PSE&G)","Franklin Solar 2 LLC",3823,"More than 2 MW",51,1950,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,780
